,mslp_pc_0_daily,mslp_pc_1_daily,mslp_pc_2_daily,mslp_pc_3_daily,mslp_pc_4_daily
1979-09-15,-80.47887,-849.8677,-529.077,-331.38748,-467.21118
1979-09-16,685.24335,-481.09824,640.79095,-169.9214,-293.3118
1979-09-17,2092.6814,-351.78012,747.68036,-330.67212,47.151337
1979-09-18,2659.3826,-770.89264,169.86479,-353.39673,74.48345
1979-09-19,1910.617,-855.9534,-187.24951,-634.7641,-65.395546
1979-09-20,842.7623,-627.1101,-483.4886,1.8059299,40.389442
1979-09-21,329.9872,-876.23926,-969.041,382.60977,123.26753
1979-09-22,-35.573082,-763.49304,-314.95166,543.48267,167.30751
1979-09-23,-180.15019,-694.157,275.12732,733.49,187.53929
1979-09-24,136.07187,-408.74265,971.354,823.8492,-93.48734
1979-09-25,1143.0326,-307.82178,1271.5697,532.695,77.52417
1979-09-26,1292.0583,-849.7798,688.0577,-187.13745,424.11502
1979-09-27,481.99597,-1362.4902,234.28716,-367.75266,495.237
1979-09-28,-577.27454,-1259.3047,-19.042969,-615.3558,249.03767
1979-09-29,-1115.2617,-422.9744,-348.12207,-695.97626,-247.27223
1979-09-30,-1411.9065,213.57996,-250.27702,-291.96878,-629.6682
1979-10-01,-1847.0276,650.5245,173.26057,-115.26545,-665.41296
1979-10-02,-2066.0718,666.4863,392.52444,-229.2619,-174.35577
1979-10-03,-1462.0233,336.16302,88.57532,-651.7543,50.676254
1979-10-04,-862.529,842.86694,-270.0393,-515.593,-247.58504
1979-10-05,-721.9548,1432.2101,-303.02045,-569.6194,-168.70436
1979-10-06,-758.5016,1306.139,34.15815,-967.9016,186.6084
1979-10-07,-818.5826,1248.472,386.6616,-1194.9226,-18.833687
1979-10-08,-751.7161,1207.3063,321.63196,-1264.4271,64.32949
1979-10-09,-350.38293,1105.7354,-145.33438,-1111.8386,-192.27147
1979-10-10,88.79869,1381.4889,-286.45712,-638.7474,-181.35835
1979-10-11,652.40894,1579.8295,-189.49675,-400.3664,-162.10495
1979-10-12,920.4172,1719.275,-653.97986,-639.30865,352.112
1979-10-13,967.63184,1395.3527,-1099.9742,-425.8788,781.53705
1979-10-14,1113.728,1413.1937,-1013.9762,-271.40976,638.1085
1979-10-15,553.14734,983.20056,-1134.6559,25.1954,672.919
1979-10-16,288.5902,17.128956,-587.5795,238.01898,139.6797
1979-10-17,472.0843,-785.59515,298.58914,356.8999,-170.54411
1979-10-18,336.3114,-919.0257,629.50397,594.77106,-297.16534
1979-10-19,734.18665,-989.31006,975.63885,515.7507,-33.739178
1979-10-20,408.19165,-1680.6693,-85.69926,-380.43045,263.43842
1979-10-21,-960.25336,-784.29254,-236.45537,-629.4252,-341.55164
1979-10-22,-1410.1857,-79.342674,542.51886,8.105206,-245.816
1979-10-23,-1556.8856,352.0319,860.1316,146.41339,-405.84232
1979-10-24,-1583.0586,1178.8514,1122.1521,52.653584,-332.10083
1979-10-25,-1670.2151,1235.5131,1029.5237,82.3921,-25.61997
1979-10-26,-1620.1488,979.12805,954.2803,579.98505,248.34683
1979-10-27,-1238.3171,1104.3729,915.0134,940.0929,469.8596
1979-10-28,-965.76276,1112.603,756.19183,1223.2789,582.2917
1979-10-29,-717.4802,1063.265,550.0989,1194.6124,380.18134
1979-10-30,-379.43073,1511.8223,966.46326,1124.571,-8.869673
1979-10-31,-50.009716,1443.4657,1376.6287,1242.7784,-208.10756
1979-11-01,-750.6946,823.26483,994.2612,1075.7456,-217.52043
